iter	custom_metric	RMSE
215	125625.6107	1800.810629
216	125611.0223	1800.723188
217	125362.3386	1800.251274
218	125327.968	1799.966068
219	125448.49	1799.576117
220	125649.2706	1799.206914
221	125476.3399	1798.911903
222	125462.5615	1798.584719
223	125462.9104	1798.531873
224	125449.3479	1798.185525
225	125408.1504	1797.405985
226	125404.1124	1796.966204
227	124387.6919	1796.450197
228	124306.1647	1795.96976
229	124397.7785	1795.206007
230	124459.2444	1794.518571
231	124459.255	1794.490698
232	124408.4482	1794.205458
233	124285.7322	1793.905678
234	124305.4484	1793.475389
235	124304.5884	1793.45409
236	123976.203	1792.99077
237	123964.1451	1792.764796
238	123708.8569	1792.533362
239	123717.7502	1792.143644
240	123695.1633	1791.871686
241	123822.0339	1791.249474
242	123821.9031	1791.229595
243	123883.7862	1790.887433
244	123449.5953	1790.458228
245	123484.1336	1790.11282
246	123473.9023	1789.323569
247	123541.2283	1789.016248
248	123546.6642	1788.847627
249	121986.8141	1788.547376
250	122002.3101	1788.17557
251	122002.0591	1788.163127
252	121997.1762	1787.841897
253	122005.4064	1787.433596
254	122005.3066	1787.406848
255	121991.1416	1787.285908
256	121990.563	1786.92825
257	121873.2986	1786.673213
258	122006.218	1786.082382
259	121635.5399	1785.656926
260	121662.1386	1785.222445
261	121603.1351	1784.945425
262	121620.2197	1784.816645
263	121611.7048	1784.309585
264	121488.3981	1784.233448
265	121504.4109	1783.962021
266	121504.5464	1783.66447
267	121509.3835	1783.332748
268	121073.4958	1783.024389
269	121134.3571	1782.582469
270	121133.665	1782.557887
271	121169.1494	1782.334781
272	120709.6337	1781.810254
273	120721.2782	1781.641824
274	120718.0611	1781.375038
275	120827.9636	1781.049919
276	120835.6077	1780.717196
277	120825.3698	1780.44925
278	120758.131	1780.088637
279	120766.0481	1779.859005
280	120798.4175	1779.290967
281	120752.3107	1778.92471
282	120758.6073	1778.285471
283	120518.1151	1777.907613
284	120547.6513	1777.457958
285	120553.4605	1777.259314
286	120570.576	1776.916052
287	120569.252	1776.502029
288	120541.7888	1775.939088
289	120483.9147	1775.297758
290	120381.3593	1775.022292
291	120489.7767	1774.527576
292	120551.4993	1774.279287
293	120574.1377	1773.995062
294	120647.1591	1773.688411
295	120648.5858	1773.660692
296	120643.3945	1773.49096
297	120645.112	1773.293067
298	120690.4193	1772.701579
299	120689.6786	1772.422204
300	120744.9218	1772.034369
301	120735.7205	1771.890508
302	120738.3235	1771.572173
303	120752.7514	1771.280527
304	120746.5529	1771.211635
305	120768.1041	1770.872847
306	120665.6111	1770.470343
307	120657.3652	1770.226867
308	120683.9682	1770.001621
309	120654.5985	1769.683585
310	120655.9486	1769.395941
311	120657.9655	1769.134132
312	120648.4667	1768.610269
313	120709.4184	1768.299432
314	120728.826	1767.993725
315	120766.1555	1767.835443
316	120585.8635	1767.503986
317	120589.9542	1767.365125
318	120579.0844	1766.825477
319	120603.5783	1766.534899
320	120584.7194	1766.183315
321	120465.0459	1765.846502
322	120458.4027	1765.662903
323	120269.0037	1765.357782
324	120284.2334	1764.996849
325	120123.0482	1764.568989
326	119984.298	1764.23751
327	120035.1184	1763.813739
328	120043.9206	1763.442585
329	120047.73	1763.108684
330	120034.2612	1762.971183
331	120030.6485	1762.731158
332	119996.3315	1762.505966
333	120034.4611	1762.177781
334	120025.9703	1761.701709
335	119929.3048	1761.132965
336	119930.6735	1760.897761
337	119929.6936	1760.860281
338	119955.1208	1760.71603
339	119955.5839	1760.335425
340	120002.4367	1759.922274
341	120010.575	1759.638066
342	120027.7065	1759.334992
343	120093.6436	1759.054061
344	120077.8831	1758.732437
345	120159.6698	1758.354615
346	120191.4613	1757.903845
347	120128.8309	1757.53219
348	120140.3916	1757.251497
349	120111.4349	1756.921508
350	120150.1788	1756.637035
351	120099.7409	1756.340031
352	120126.7041	1756.081668
353	120163.3132	1755.787516
354	120153.416	1755.561718
355	120166.7751	1755.28518
356	120199.2574	1755.219809
357	120199.7149	1754.881291
358	120020.8358	1754.383409
359	120029.5655	1754.226774
360	119195.4763	1753.772529
361	119181.0188	1753.672992
362	119184.8178	1753.521303
363	118783.2499	1753.212103
364	118504.751	1752.954144
365	118504.6379	1752.815239
366	118494.4341	1752.52744
367	118454.4354	1752.223593
368	118404.6743	1751.882945
369	118376.3964	1751.468113
370	118409.8875	1751.094145
371	118408.0891	1750.941992
372	118484.8808	1750.681296
373	118494.0197	1750.438476
374	118509.304	1750.122064
375	118514.8737	1749.974781
376	118521.3897	1749.796108
377	118509.2878	1749.557656
378	118448.9179	1749.17365
379	118746.552	1748.712813
380	118764.9228	1748.521736
381	118873.8047	1748.25164
382	118690.1446	1747.951137
383	118689.9202	1747.939224
384	118737.3288	1747.767047
385	118633.4551	1747.321507
386	118686.6886	1747.059128
387	118690.0306	1746.799901
388	118732.2129	1746.461727
389	118693.1475	1745.996797
390	118645.7217	1745.684313
391	118813.4071	1745.064447
392	118585.1364	1744.833455
393	118140.6975	1744.491842
394	118140.7573	1744.475121
395	118074.148	1744.179022
396	118066.376	1743.81838
397	118078.9403	1743.553163
398	118066.8323	1743.315396
399	118132.3513	1742.977406
400	118117.4735	1742.790817
401	118126.57	1742.37138
402	118117.1386	1742.145488
403	118121.3365	1742.051696
404	118145.5515	1741.699448
405	118047.2701	1741.422248
406	118073.5944	1741.1792
407	118060.1741	1741.006548
408	118088.7793	1740.786754
409	118086.5423	1740.557448
410	118473.2827	1740.14637
411	118423.3267	1739.816022
412	118429.122	1739.547736
413	118428.2648	1739.537263
414	118338.3383	1739.0911
415	118390.0171	1738.804624
416	118419.6692	1738.553339
417	118419.7804	1738.18434
418	118145.0991	1737.957305
419	118090.7575	1737.687484
420	118091.3566	1737.439822
421	118115.6634	1737.205012
422	118134.3093	1737.069437
423	118199.6784	1736.805499
424	118188.7025	1736.715832
425	118098.0294	1736.371513
426	118140.9376	1736.186852
427	118156.6746	1736.11332
428	118130.137	1735.931222
429	118126.2262	1735.824407
430	118118.7859	1735.675535
431	118121.9864	1735.590986
432	118120.1463	1735.469611
433	118122.2715	1735.317054
434	118123.2779	1735.30253
435	118151.7867	1735.179714
436	118176.4375	1735.007168
437	117846.1404	1734.651889
438	117814.9146	1734.285164
439	117873.8289	1733.994825
440	117874.911	1733.757696
441	117865.1139	1733.56398
442	117875.641	1733.428914
443	117870.4733	1733.221537
444	117870.2418	1733.207746
445	117889.5158	1732.931469
446	117711.8587	1732.750299
447	117816.3695	1732.472748
448	117746.0766	1732.10987
449	117672.1094	1731.842203
450	117675.0121	1731.696297
451	117655.2313	1731.549963
452	117713.7869	1731.345925
453	117717.3783	1731.111762
454	117785.7206	1730.701843
455	117781.555	1730.524533
456	117795.344	1730.264969
457	117779.078	1729.976798
458	117728.4953	1729.799366
459	117698.8321	1729.420905
460	117701.8328	1729.019671
461	117706.2173	1728.821967
462	117695.3321	1728.683261
463	117638.9675	1728.425834
464	117659.4052	1728.074422
465	117628.9927	1727.940844
466	117636.4277	1727.604183
467	117633.533	1727.432508
468	117695.9348	1727.161219
469	117681.9268	1727.118077
470	117745.9231	1726.886133
471	117762.7039	1726.752052
472	117767.2819	1726.521838
473	117776.799	1726.277218
474	117893.3456	1726.076495
475	117764.0142	1725.985464
476	117786.3631	1725.747572
477	117631.8056	1725.441332
478	117516.2598	1724.953981
479	117516.2352	1724.891082
480	117493.4285	1724.442281
481	117493.1396	1724.251693
482	117479.7072	1724.070719
483	117497.9846	1723.847358
484	117493.9397	1723.672681
485	117480.0029	1723.424648
486	117537.6336	1723.0395
487	117548.2628	1722.788731
488	117545.2516	1722.66605
489	117852.1791	1722.494851
490	117513.5113	1722.300602
491	117521.6092	1721.970939
492	117531.7997	1721.665451
493	117224.618	1721.521537
494	117303.6706	1721.210221
495	117310.7557	1721.065161
496	117348.0376	1720.791851
497	117292.571	1720.515583
498	117287.5852	1720.438496
499	117231.7346	1720.223457
500	117248.8247	1720.097323
501	117249.1751	1719.875039
502	117252.3812	1719.807378
503	117224.1284	1719.62909
504	117167.6307	1719.410088
505	117044.5045	1719.105938
506	117041.0891	1719.06697
507	116693.7853	1718.82826
508	116693.5836	1718.804436
509	116085.6198	1718.548062
510	116058.7209	1718.11893
511	115708.6688	1717.890543
512	115717.6944	1717.710396
513	115724.0779	1717.438574
514	115743.0851	1717.24582
515	115760.5777	1717.022438
516	115667.7828	1716.694535
517	115670.8582	1716.531324
518	115657.0176	1716.365695
519	114168.2685	1716.107319
520	114188.3604	1715.91424
521	114188.3511	1715.905133
522	114204.7515	1715.572808
523	114245.0752	1715.412581
524	114201.7843	1715.134964
525	114169.6597	1714.981114
526	114091.6824	1714.725321
527	113983.2754	1714.405495
528	113687.7224	1714.084069
529	113684.8657	1714.068196
530	113794.825	1713.640551
531	113667.8767	1713.333415
532	113704.1631	1713.146109
533	113716.5495	1712.93957
534	113685.5395	1712.737913
535	113668.091	1712.504399
536	113670.8847	1712.241942
537	113677.2344	1712.051471
538	113717.4405	1711.724766
539	113725.7926	1711.54402
540	113725.6135	1711.409443
541	113708.2955	1711.152727
542	113737.1341	1710.940981
543	113757.7226	1710.835922
544	113748.6825	1710.697888
545	113746.7395	1710.512996
546	113820.6514	1710.312245
547	113855.2307	1710.250538
548	113855.45	1710.242125
549	113917.5856	1710.025675
550	113915.731	1709.993509
551	113934.0088	1709.614237
552	113957.7332	1709.397511
553	113922.4351	1709.168394
554	113921.4882	1708.840571
555	113909.6741	1708.599259
556	114295.9499	1708.268546
557	114312.3888	1707.952175
558	114335.5682	1707.904616
559	114311.3284	1707.757968
560	114315.5249	1707.539539
561	114322.2881	1707.329155
562	114440.5822	1707.061638
563	114448.389	1706.919535
564	114441.4832	1706.831313
565	114411.8054	1706.56533
566	114393.5571	1706.526457
567	114413.7259	1706.409037
568	114422.5333	1706.185742
569	114320.0048	1705.896862
570	114299.734	1705.692333
571	114400.0056	1705.510497
572	114428.5954	1705.28572
573	114515.2896	1705.065525
574	114505.5337	1704.877299
575	114501.977	1704.746435
576	114372.2487	1704.531943
577	114379.3601	1704.359044
578	114377.9887	1704.175761
579	114379.5579	1704.119096
580	114378.0842	1703.870106
581	114366.9071	1703.79371
582	114154.6231	1703.544534
583	114223.9368	1703.363082
584	114232.0452	1703.171315
585	114211.1045	1703.058765
586	114237.795	1702.869445
587	114230.7134	1702.768751
588	114229.6678	1702.583603
589	114242.3653	1702.251079
590	114246.5522	1702.23769
591	114246.2505	1702.225881
592	114230.3481	1702.077203
593	114230.9136	1702.034934
594	114217.7127	1701.90666
595	114208.576	1701.680181
596	113483.5128	1701.502016
597	113508.071	1701.232069
598	113507.8288	1701.221025
599	113500.551	1701.054777
600	113510.1555	1700.790324
601	113535.7692	1700.449253
602	113476.6561	1700.316209
603	113484.066	1700.189145
604	113496.9407	1700.07191
605	113510.6805	1699.866366
606	113510.4367	1699.860518
607	113479.1754	1699.623607
